Canton of patients,Cesarean section rate (%),Average age at delivery,Average age at cesarean section,year
ZH,34.3,33.7,33.7,2007
BE,32.61,33,32.8,2007
LU,31.29,32,31.5,2007
UR,33.33,31.2,31.6,2007
SZ,35.35,30.5,31,2007
OW,21.88,30,31.2,2007
NW,29.82,30.5,30.5,2007
GL,27.74,30,31.3,2007
ZG,39.98,31,31.4,2007
FR,32.29,31.2,31,2007
SO,36.93,31,31.5,2007
BS,29.31,30.5,31.5,2007
BL,36.1,30.5,32,2007
SH,34.05,31,31,2007
AR,34.24,30.1,31,2007
AI,29.55,29.8,30.9,2007
SG,30.46,31.5,31.5,2007
GR,33.14,30.5,30.5,2007
AG,32.93,32,31.5,2007
TG,29.55,30.5,30.5,2007
TI,34.15,31,31.4,2007
VD,32.09,31.5,32,2007
VS,25.95,31.1,31,2007
NE,25.62,30.5,32,2007
GE,29.67,33.5,34,2007
JU,18.98,29.5,30.6,2007
ZH,35.49,33,33,2008
BE,32.61,32.3,31.8,2008
LU,32,30.5,31,2008
UR,35.2,30,29.4,2008
SZ,35.2,31.5,31.5,2008
OW,25.15,30,30.5,2008
NW,42.23,30.9,31,2008
GL,31.56,29.5,30.3,2008
ZG,38.43,31,31,2008
FR,31.34,30.5,30.6,2008
SO,35.37,30.4,31,2008
BS,33.6,31.1,32.6,2008
BL,39.01,31,32,2008
SH,34.94,31,32,2008
AR,33.33,32.2,31.8,2008
AI,40.69,30.5,31.5,2008
SG,33.93,30.5,31,2008
GR,31.77,31.6,31.2,2008
AG,33.01,32,32,2008
TG,31.21,31.3,31.1,2008
TI,32.02,31,32,2008
VD,31.87,32.5,33,2008
VS,27.06,31,31.5,2008
NE,28.15,31,30.5,2008
GE,30.99,31.5,33,2008
JU,18.03,31,32,2008
ZH,35.05,32,33,2009
BE,33.56,32.7,32.3,2009
LU,33.28,30.4,31.4,2009
UR,40.06,30,31,2009
SZ,36.52,29.9,32,2009
OW,22.7,30.5,32,2009
NW,36.16,30,30.9,2009
GL,33.22,30,30.1,2009
ZG,39.69,31.4,33.5,2009
FR,30.41,30.6,31.7,2009
SO,37.02,30.4,32,2009
BS,29.29,30,31,2009
BL,36.3,31.5,32.5,2009
SH,35.15,29.5,30.8,2009
AR,31.43,31.6,32.2,2009
AI,30.38,30,30.9,2009
SG,31.8,30.5,31,2009
GR,29.24,31,30.5,2009
AG,32.89,32.3,32.7,2009
TG,30.23,30,30,2009
TI,34.09,31.5,32.1,2009
VD,32.08,32.6,34.1,2009
VS,28.56,31.1,30,2009
NE,26.39,31,32,2009
GE,30.75,33.1,33.1,2009
JU,19.1,32,32,2009
ZH,34.92,32,33,2010
BE,32.68,30.5,31,2010
LU,33.1,30.5,30.1,2010
UR,27.7,31.4,31.4,2010
SZ,33.71,31.6,31.5,2010
OW,32.72,30,31.6,2010
NW,31.45,31.5,32,2010
GL,35.74,30.6,30.6,2010
ZG,43.06,32,32,2010
FR,31.13,31,31.1,2010
SO,38.13,31.6,31.5,2010
BS,30.66,32.2,32.7,2010
BL,34.71,31,31,2010
SH,36.41,31.1,30,2010
AR,28.35,30,30.5,2010
AI,27.89,30,30.3,2010
SG,34.82,31,31.1,2010
GR,31.81,31.1,31.1,2010
AG,33.61,30.6,31.6,2010
TG,31.87,31,31.5,2010
TI,33.17,31.2,31.2,2010
VD,31.4,33.1,33.6,2010
VS,27.07,31.6,31.1,2010
NE,24.41,30.9,30.5,2010
GE,30.17,31.6,32.6,2010
JU,19.39,29,31,2010
ZH,35.94,33,33.5,2011
BE,33.66,30.5,31.5,2011
LU,32.71,31.5,32,2011
UR,32.15,29.3,30.5,2011
SZ,33.92,31.4,31.9,2011
OW,25.47,30.5,31.8,2011
NW,32.2,31,32.4,2011
GL,36.86,31.7,32.7,2011
ZG,41.16,30.5,32.4,2011
FR,31.47,31.2,30.1,2011
SO,37.39,30.5,30.5,2011
BS,29.51,30.5,30.9,2011
BL,36.86,31.6,33.6,2011
SH,37.39,31.6,32.1,2011
AR,28.51,32.1,32,2011
AI,28.57,31.5,31.1,2011
SG,33.25,32.3,32.3,2011
GR,29.41,31.5,31,2011
AG,34.36,31.5,32,2011
TG,31.03,31,31.5,2011
TI,34.86,32,31.5,2011
VD,32.84,32.5,32.6,2011
VS,28.42,30.5,30.5,2011
NE,26.22,31.5,32.5,2011
GE,31.44,32.1,33,2011
JU,16.72,32,31.2,2011
ZH,35.5503391,31.6763824,32.6344461,2012
BE,33.3155821,31.0967089,31.8462276,2012
LU,34.2233633,31.0061617,31.735934,2012
UR,35.4570637,30.565097,31.2265625,2012
SZ,33.7123746,31.2568562,32.2539683,2012
OW,26.7029973,31.1226158,31.5510204,2012
NW,30.2114804,31.6193353,32.21,2012
GL,38.3285303,29.2651297,30.1052632,2012
ZG,41.971113,32.1826678,32.7753036,2012
FR,29.9701294,30.5310322,31.427464,2012
SO,38.8768898,30.5671706,31.2244444,2012
BS,33.0734967,31.5072383,32.4680135,2012
BL,37.3733108,31.453125,32.3514124,2012
SH,38.9705882,30.4220588,31.0943396,2012
AR,30.3393214,30.8143713,31.3486842,2012
AI,29.1139241,30.2341772,32.0869565,2012
SG,33.4578663,30.4055625,31.1668734,2012
GR,30.6461538,31.1224615,31.8453815,2012
AG,34.2847979,31.0064144,31.7600561,2012
TG,29.5246402,30.6245094,31.5199409,2012
TI,34.0007281,31.8569348,32.8372591,2012
VD,32.3507463,31.1552239,32.3406382,2012
VS,26.8882175,30.448137,31.5630462,2012
NE,29.1371158,30.5839243,31.5638945,2012
GE,31.6751868,31.898545,33.1123526,2012
JU,19.2012289,30.5253456,31.392,2012
ZH,35.8054278,31.8728545,32.7769537,2013
BE,32.9172495,31.1433337,31.8842759,2013
LU,34.3106996,31.0781893,31.6454273,2013
UR,27.3584906,30.5849057,31.5517241,2013
SZ,34.5108696,31.2105978,32.0629921,2013
OW,25.7668712,31.0214724,32.0595238,2013
NW,31.0991957,31.0536193,31.4655172,2013
GL,38.8297872,29.6409574,30.0273973,2013
ZG,40.950041,32.3669124,33.326,2013
FR,30.9660909,30.6225208,31.5041322,2013
SO,35.2536543,30.4806535,31.3219512,2013
BS,33.592881,31.3131257,32.2665563,2013
BL,37.2164049,31.3795812,31.9343494,2013
SH,37.7142857,30.4985714,31.2234848,2013
AR,29.6703297,30.8615385,31.8148148,2013
AI,28.8235294,30.5352941,32.0816327,2013
SG,33.9728217,30.5097922,31.0529412,2013
GR,32.5568182,31.1443182,31.9877836,2013
AG,34.1851495,30.9077467,31.6060179,2013
TG,30.9098639,30.6909014,31.2475928,2013
TI,33.8511561,31.8302023,33.1216649,2013
VD,32.2365166,31.2555666,32.5092095,2013
VS,27.0122344,30.5251127,31.5303933,2013
NE,27.5,30.6922619,31.7099567,2013
GE,31.897712,31.8377235,33.1265823,2013
JU,18.8536953,30.4509804,31.416,2013
ZH,36.68261563,31.987792909,32.948160535,2014
BE,34.032309832,31.30116615,31.993398302,2014
LU,33.133133133,31.033033033,31.416163142,2014
UR,33.227848101,30.617088608,31.314285714,2014
SZ,33.514246947,31.447761194,32.384615385,2014
OW,27.320954907,31.469496021,32.805825243,2014
NW,30.028328612,31.688385269,31.509433962,2014
GL,38.356164384,30.17260274,30.442857143,2014
ZG,41.119221411,32.214111922,33.234714004,2014
FR,28.738461538,30.82,31.69379015,2014
SO,37.877480587,30.823554789,31.522779043,2014
BS,35.247208931,31.868686869,32.26546003,2014
BL,39.427860697,31.623963516,32.393270242,2014
SH,36.271676301,30.549132948,31.215139442,2014
AR,31.311154599,30.845401174,31.25625,2014
AI,26.451612903,30.270967742,30.097560976,2014
SG,32.786212556,30.603200657,31.192740926,2014
GR,32.330827068,31.588779641,32.313059034,2014
AG,34.326744904,30.990889438,31.887539361,2014
TG,30.592885375,30.707509881,31.507751938,2014
TI,33.614627286,32.027074543,33.081589958,2014
VD,32.408435072,31.280305833,32.469178082,2014
VS,26.038599935,30.658161596,31.600502513,2014
NE,27.578347578,30.782336182,31.752066116,2014
GE,32.492412747,32.1534522,33.413309982,2014
JU,23.123123123,30.845345345,31.928571429,2014
ZH,37.18753848,31.999384312,32.823344371,2015
BE,33.829919305,31.409786882,32.189296636,2015
LU,32.83507723,31.190832088,31.91198786,2015
UR,30.793650794,30.425396825,30.381443299,2015
SZ,32.077922078,31.376623377,32.483805668,2015
OW,26.530612245,31.332361516,31.505494505,2015
NW,28.465346535,32.116336634,32.32173913,2015
GL,38.287153652,30.508816121,31.171052632,2015
ZG,39.123630673,32.355242567,33.016,2015
FR,29.87987988,30.892192192,31.720603015,2015
SO,37.678790356,30.822231304,31.239696312,2015
BS,34.506302521,31.848739496,32.799086758,2015
BL,34.482758621,31.640162272,32.437647059,2015
SH,36.32218845,30.869300912,31.912133891,2015
AR,30.386740331,30.593001842,31.593939394,2015
AI,31.764705882,30.9,31.537037037,2015
SG,33.972392638,30.743673313,31.269187359,2015
GR,30.533024334,31.106604867,31.451612903,2015
AG,34.965250965,31.255752896,32.048144876,2015
TG,28.122662678,30.738593867,31.841755319,2015
TI,32.782272248,31.968343299,33.358369099,2015
VD,32.076401725,31.482439926,32.66308106,2015
VS,25.071678879,30.706275884,31.820838628,2015
NE,27.949599084,30.841351661,32.465163934,2015
GE,31.659948699,32.14162697,33.321759259,2015
JU,19.562043796,30.537226277,31.037313433,2015
ZH,37.186874507,32.110996543,33.072745066,2016
BE,32.837657676,31.290226643,32.127108057,2016
LU,33.45419386,31.410684071,32.065028902,2016
UR,27.044025157,30.625786164,31.302325581,2016
SZ,35.254691689,31.280831099,32.036121673,2016
OW,24.928366762,31.048710602,32.482758621,2016
NW,33.333333333,31.900537634,32.411290323,2016
GL,36.31713555,30.125319693,30.73943662,2016
ZG,41.220238095,32.55952381,33.463898917,2016
FR,29.868228404,31.026939971,31.857843137,2016
SO,34.333198216,30.828942035,31.613931523,2016
BS,32.422862924,31.977744057,32.633385335,2016
BL,33.999200959,31.60407511,32.777908343,2016
SH,40.659340659,31.046703297,31.682432432,2016
AR,23.985890653,30.693121693,31.220588235,2016
AI,29.05027933,30.776536313,31.807692308,2016
SG,32.718185313,30.715686275,31.237367803,2016
GR,30.913216109,31.353374929,32.262385321,2016
AG,34.61651484,31.181898325,31.85483871,2016
TG,29.89010989,30.872527473,31.605392157,2016
TI,31.813166605,32.18609783,33.275144509,2016
VD,31.404860699,31.47705987,32.707436769,2016
VS,26.752190238,30.755944931,31.733333333,2016
NE,27.958833619,30.803316181,31.989775051,2016
GE,31.948584203,32.262108793,33.460058309,2016
JU,22.13740458,30.916030534,32.04137931,2016
ZH,36.229767555,32.246866253,33.251427612,2017
BE,32.755437013,31.419368076,32.174757282,2017
LU,30.426495116,31.330474148,31.94596711,2017
UR,28.571428571,31.550595238,32.270833333,2017
SZ,31.422651934,31.649171271,32.986813187,2017
OW,26.136363636,31.650568182,32.630434783,2017
NW,35.980148883,32.007444169,32.724137931,2017
GL,40.43715847,30.459016393,31.317567568,2017
ZG,39.837398374,32.509756098,33.267346939,2017
FR,29.210447313,31.068447914,31.864337102,2017
SO,35.33956893,30.950386336,31.448791715,2017
BS,32.026817947,32.436823105,33.238325282,2017
BL,32.663514578,31.671000788,32.495778046,2017
SH,34.985835694,30.759206799,30.914979757,2017
AR,27.323420074,31.314126394,31.74829932,2017
AI,23.728813559,31.491525424,32.928571429,2017
SG,30.637450199,30.867928287,31.659947984,2017
GR,31.649421789,31.57821059,32.038461538,2017
AG,34.268328881,31.326061146,32.142052837,2017
TG,29.812030075,30.890225564,31.62295082,2017
TI,30.178837556,32.248509687,33.471604938,2017
VD,30.051503174,31.686669062,32.823037067,2017
VS,27.157761619,30.944672779,32.01862631,2017
NE,24.853458382,30.816529894,32.056603774,2017
GE,32.076162578,32.381362138,33.392694064,2017
JU,24.174174174,30.56006006,31.596273292,2017
ZH,35.711200247,32.407096575,33.398997754,2018
BE,32.128141739,31.670065925,32.474831677,2018
LU,32.214285714,31.427380952,31.977087953,2018
UR,20.571428571,30.977142857,32.125,2018
SZ,33.865814696,31.543769968,32.581132075,2018
OW,30.08356546,31.871866295,32.87962963,2018
NW,31.670822943,32.132169576,32.858267717,2018
GL,39.686684073,30.433420366,30.953947368,2018
ZG,37.195121951,32.450457317,32.995901639,2018
FR,29.352226721,31.150954309,31.833497537,2018
SO,33.085647243,31.161908487,31.911347518,2018
BS,32.091097308,32.339026915,33.088709677,2018
BL,35.152487961,31.769261637,32.514840183,2018
SH,32.920110193,31.038567493,31.769874477,2018
AR,31.327433628,31.57699115,32.13559322,2018
AI,28.395061728,31.12345679,31.913043478,2018
SG,30.770716631,30.958663319,31.716258632,2018
GR,29.942528736,31.506321839,32.049904031,2018
AG,34.35828877,31.26218063,32.031128405,2018
TG,28.772423496,31.039043264,31.502444988,2018
TI,30.545305453,32.399343993,33.506040268,2018
VD,29.430604982,31.746737841,32.757758968,2018
VS,27.329974811,31.11429471,31.960829493,2018
NE,27.334570192,30.993197279,31.963800905,2018
GE,31.18784012,32.544567461,33.759927798,2018
JU,23.546944858,30.588673621,31.816455696,2018
ZH,36.585824403,32.466691734,33.421377184,2019
BE,32.100437591,31.65107314,32.457968192,2019
LU,31.287605295,31.698916968,32.436153846,2019
UR,24.012158055,31.200607903,31.708860759,2019
SZ,32.783505155,31.412371134,32.36687631,2019
OW,23.511904762,31.583333333,32.392405063,2019
NW,31.335149864,32.070844687,32.295652174,2019
GL,34.263959391,30.789340102,31.792592593,2019
ZG,37.431906615,32.547081712,33.266112266,2019
FR,29.135948098,31.132999115,31.958502024,2019
SO,33.978234583,31.226118501,31.981020166,2019
BS,33.131618759,32.60110943,33.640791476,2019
BL,34.696406444,32.181743081,32.816666667,2019
SH,33.965014577,31.307580175,31.309012876,2019
AR,30.410447761,31.182835821,32.45398773,2019
AI,28.220858896,31.288343558,31.652173913,2019
SG,31.15697559,31.141099424,31.67388535,2019
GR,32.655654384,31.915501906,32.624513619,2019
AG,33.799705449,31.464506627,32.089760349,2019
TG,29.234675372,31.122959739,31.995037221,2019
TI,31.851549755,32.444127243,33.649167734,2019
VD,28.748197982,31.858962037,33.087338069,2019
VS,26.029654036,31.180230643,32.440506329,2019
NE,27.233518176,31.20702403,32.119909502,2019
GE,28.10880829,32.585122132,33.78275181,2019
JU,23.367198839,30.775036284,31.956521739,2019
ZH,37.518891688,32.569710327,33.473481034,2020
BE,32.560623865,31.796282448,32.595144357,2020
LU,34.599362901,31.66503308,32.21388102,2020
UR,26.384364821,31.022801303,32.271604938,2020
SZ,35.044929397,31.750962773,32.509157509,2020
OW,26.098901099,31.862637363,32.463157895,2020
NW,36.387434555,31.704188482,31.762589928,2020
GL,32.294617564,30.8101983,31.596491228,2020
ZG,41.014975042,32.629783694,33.261663286,2020
FR,28.063241107,31.236850106,31.834236186,2020
SO,34.234592445,31.363419483,32.022067364,2020
BS,33.476164971,32.668452062,33.5616,2020
BL,34.097540642,31.959983326,32.684596577,2020
SH,37.69123783,31.803894298,32.782287823,2020
AR,27.151051625,31.41873805,31.725352113,2020
AI,23.270440252,31.578616352,32.675675676,2020
SG,31.142072214,31.160518053,31.889098929,2020
GR,31.525207403,31.801531589,32.350202429,2020
AG,34.049807293,31.470204566,32.25685677,2020
TG,28.883945124,31.363737486,32.124518614,2020
TI,34.133223004,32.644600745,33.792727273,2020
VD,28.234136744,32.015617314,33.153745645,2020
VS,27.211538462,31.286858974,32.46171967,2020
NE,28.45373891,31.463878327,32.371937639,2020
GE,28.693830922,32.641469916,33.933642999,2020
JU,22.270742358,30.719068413,31.941176471,2020
